m,g0,Rstar_local_Lam,M_omega_Rstar,Mtopo_over_Lam,Rstar_fullkernel,full_collapse
0.1,5.0,1.3749939440492116,1.2730863025580468,0.20909394751685723,0.05,1
0.1,20.0,1.977493864014608,0.9154659780739657,0.3290126700136775,0.05,1
0.1,50.0,2.501989594003331,0.7325589171100652,0.4216522740576128,0.05,1
0.1,150.0,3.3076479491438957,0.5591337553721859,0.5539920162502497,0.05,1
0.1,400.0,4.2368777950979,0.43858927184071933,0.7031120205827437,0.05,1
0.15,5.0,1.2033982954340925,1.227515251811153,0.32803189197879634,0.05,1
0.15,20.0,1.7235615329608436,0.8790514649936693,0.5045279625046223,0.05,1
0.15,50.0,2.1773851088903475,0.7023486522437832,0.6450839250690273,0.05,1
0.15,150.0,2.8753278850596597,0.5354812317780289,0.8478347560023733,0.05,1
0.15,400.0,3.680941707364278,0.4197893837316731,1.076162144558611,0.05,1
0.2,5.0,1.1034966150080485,1.222077634338749,0.436270478336527,0.05,1
0.2,20.0,1.577157278357304,0.873318780275994,0.6633373787694312,0.05,1
0.2,50.0,1.9908901258548601,0.6972284233831614,0.8473469431216939,0.05,1
0.2,150.0,2.6275733532425574,0.531278220153496,1.114316013902184,0.05,1
0.2,400.0,3.362767893887991,0.4163702483608503,1.414714040747918,0.05,1
0.3,5.0,0.9939192899059585,1.2726462007973756,0.6120378350402993,0.05,1
0.3,20.0,1.4176174650458377,0.9075814804063681,0.9207962369422161,0.05,1
0.3,50.0,1.788140753189778,0.7240328436222456,1.17589000021798,0.05,1
0.3,150.0,2.358682367494765,0.5513982697851527,1.5478513627098378,0.05,1
0.3,400.0,3.017758747845054,0.4320122780929493,1.9652772356635413,0.05,1
