r,F,B0
1e-07,3.1415924535897934,0.40528473373911145
0.0800201048012003,2.9818927283317196,0.3975980050882482
0.1600401096024006,2.8242039128531022,0.37567293017850695
0.24006011440360087,2.67038901290547,0.342578709052145
0.3200801192048012,2.5220414137403706,0.302469803809076
0.4001001240060015,2.3804072777287897,0.259594988815606
0.48012012880720173,2.2463574445346666,0.21751997846569535
0.560140133608402,2.1204026643896907,0.17873728107100206
0.6401601384096023,2.0027390767708666,0.14463823177547958
0.7201801432108026,1.8933092875950852,0.11571217711524745
0.8002001480120029,1.7918667100306989,0.09182782238124511
0.8802201528132032,1.6980348355643582,0.07249718594878815
0.9602401576144034,1.6113570622699902,0.05707667131411793
1.0402601624156038,1.5313357336792421,0.04489828053466329
1.1202801672168041,1.4574609360274724,0.035343099237640785
1.2003001720180044,1.3892305460737648,0.02787443657378369
1.2803201768192047,1.3261633178167889,0.02204619202783255
1.360340181620405,1.2678067206312063,0.017497882500907946
1.4403601864216053,1.213740993339474,0.013943715104058601
1.5203801912228057,1.1635805813357092,0.011159994084265747
1.600400196024006,1.1169738418923747,0.008973081155314215
1.6804202008252063,1.0736016637799362,0.007248875371929319
1.7604402056264066,1.0331754579190826,0.0058840845355616804
1.8404602104276069,0.9954348323335953,0.00479921376842289
1.920480215228807,0.9601451595966706,0.003933050792425465
2.0005002200300073,0.9270951700174801,0.003238388058205616
2.0805202248312074,0.8960946515760242,0.0026787339853601433
2.160540229632408,0.866972301994484,0.002225798642561789
2.240560234433608,0.8395737546053069,0.001857577448717134
2.3205802392348085,0.8137597843008266,0.0015568925352660232
2.4006002440360086,0.7894046902435924,0.0013102823973379033
2.480620248837209,0.7663948463320455,0.0011071557591920249
2.560640253638409,0.7446274073497705,0.0009391455942964304
2.6406602584396093,0.724009157371917,0.0007996147601219076
2.72068026324081,0.7044554867367584,0.0006832765843164517
2.80070026804201,0.6858894842910704,0.0005859027499253945
2.8807202728432104,0.6682411324020744,0.0005040976272929989
2.9607402776444105,0.6514465932097663,0.0004351233156776842
3.040760282445611,0.6354475756513301,0.000376763500084439
3.120780287246811,0.6201907738488158,0.00032721711442910414
3.2008002920480116,0.6056273684672502,0.000285014970677928
3.2808202968492117,0.5917125835978037,0.00024895414553017647
3.3608403016504123,0.5784052925874922,0.00021804614669745353
3.4408603064516123,0.5656676670194468,0.00019147581081393556
3.520880311252813,0.553464863747382,0.00016856858974958713
3.600900316054013,0.5417647455089283,0.0001487644176983726
3.6809203208552135,0.5305376311908971,0.00013159675972230367
3.7609403256564136,0.5197560723019781,0.00011667575470045062
3.8409603304576136,0.5093946526315857,0.00010367460523745969
3.920980335258814,0.4994298084441245,9.231855155395011e-05
4.001000340060015,0.4898396668819524,8.237590888113387e-05
4.081020344861215,0.4806039005334136,7.36507583370202e-05
4.161040349662415,0.47170359636954656,6.597696716926543e-05
4.241060354463616,0.4631211374689845,5.921328129199304e-05
4.321080359264816,0.4548400961391361,5.323928553971407e-05
4.401100364066016,0.44684513720652047,4.7952068304085774e-05
4.4811203688672165,0.43912193039318015,4.326345972767144e-05
4.561140373668417,0.43165707082213756,3.9097738336106516e-05
4.641160378469618,0.4244380068052079,3.538972138413251e-05
4.721180383270817,0.41745297416320043,3.2083170420959216e-05
4.801200388072018,0.41069093641338106,2.912945653659557e-05
4.881220392873218,0.40414153023357285,2.6486440125003154e-05
