R_Lambda,E2,E4,E_omega_full,E_tot
0.05,0.02066573295416513,-0.8854166124346818,0.08430032696865404,-0.7804505525118626
0.053591913098874705,0.022150070029715335,-0.826072975857508,0.08428379334770826,-0.7196391124800844
0.057441862991946806,0.023741001597201813,-0.7707067501908533,0.08426485880219636,-0.6627008897914551
0.061568386594037613,0.025446179609105127,-0.7190513563436847,0.08424317980063865,-0.6093619969339409
0.06599135247971173,0.027273804885657817,-0.6708580821240782,0.08421836486072733,-0.5593659123776931
0.07073205654739843,0.02923266642025976,-0.6258948847740287,0.08418996814123483,-0.5124722502125341
0.07581332455585742,0.031332183490024444,-0.5839452737535419,0.08415748224604294,-0.46845560801747455
0.08125962202668591,0.03358245077021823,-0.5448072683977219,0.0841203301603267,-0.4271044874671769
0.08709717204203114,0.03599428666522433,-0.5082924254302815,0.08407785623523395,-0.38822028252982327
0.09335408150468547,0.03857928508346643,-0.47422493165272045,0.0840293161348963,-0.35161633043435775
0.10006047646848747,0.04134987089952563,-0.4424407574417996,0.0839738656588056,-0.3171170208834684
0.10724864719062356,0.044319359363535135,-0.41278686698042444,0.08391054835414859,-0.2845569592627407
0.11495320360423547,0.04750201973590893,-0.3851204814199869,0.0838382818374164,-0.25378017984666157
0.1232112419599088,0.05091314344461351,-0.35930839142691157,0.08375584275349678,-0.22463940522880127
0.13206252343839717,0.0545691170826024,-0.33522631580379086,0.08366185031472649,-0.19699534840646193
0.14154966559457371,0.05848750058476677,-0.3127583030972594,0.08355474838349046,-0.17071605412900215
0.15171834755438346,0.06268711094689094,-0.29179617331164487,0.08343278609163546,-0.14567627627311847
0.16261752995278783,0.06718811187371329,-0.27223899704050275,0.08329399703025282,-0.12175688813653664
0.17429969067166923,0.07201210976936066,-0.2539926095082431,0.08313617709661847,-0.09884432264226395
0.18682107751273688,0.07718225651122725,-0.23696915718213424,0.08295686115391633,-0.07683003951699068
0.20024197902201463,0.08272335947788784,-0.2210866747717541,0.08275329874675526,-0.055610016547110994
0.2146270147698901,0.08866199933295459,-0.20626869057925915,0.08252242922458781,-0.035084262021716744
0.230045446484377,0.09502665609998216,-0.19244385830033411,0.08226085675924319,-0.015156345441108762
0.24657151153565138,0.10184784409868369,-0.179545613503028,0.08196482590513085,0.004267056500786542
0.26428478037753633,0.1091582563499133,-0.16751185313049927,0.08163019854417175,0.023276601763585786
0.2832705396669623,0.11699291909617428,-0.15628463648454105,0.08125243328440249,0.041960715896035714
0.30362020290606384,0.12538935712589486,-0.14580990625018114,0.08082656864249242,0.060406019518206136
0.32543175058408963,0.13438777063343316,-0.136037228218144,0.08034721163526296,0.0786977540505521
0.3488102019383441,0.14403122439278568,-0.12691954845198392,0.07980853373008809,0.09692020967088985
0.37386812060561353,0.15436585007130826,-0.11841296673069383,0.07920427645136058,0.11515715979197501
